date&time,AC,Furnace,temp,hum,dayofweeks
2014-06-01 0:00,0.000041667,0.009792778,49.59,0.86,0
2014-06-01 1:00,0.000046111,0.009809444,47.53,0.88,0
2014-06-01 2:00,0.000068889,0.009747222,46.13,0.89,0
2014-06-01 3:00,0.000057222,0.009807778,45.47,0.9,0
2014-06-01 4:00,0.000056111,0.009798333,44.45,0.9,0
2014-06-01 5:00,0.000048889,0.009828889,43.9,0.92,0
2014-06-01 6:00,0.000032778,0.009974444,44.18,0.91,0
2014-06-01 7:00,0.000035,0.009742778,48.52,0.88,0
2014-06-01 8:00,0.000061111,0.009981667,53.36,0.83,0
2014-06-01 9:00,0.000050556,0.00955,59.5,0.71,0
2014-06-01 10:00,0.000026111,0.009726111,65.11,0.57,0
2014-06-01 11:00,0.000646111,0.009948333,69.02,0.41,0
2014-06-01 12:00,0.000042222,0.009193889,71.74,0.31,0
2014-06-01 13:00,0.000141667,0.009367222,73.01,0.28,0
2014-06-01 14:00,0.000075,0.00933,73.89,0.27,0
2014-06-01 15:00,0.000357222,0.009522778,74.65,0.27,0
2014-06-01 16:00,0.000477778,0.009013889,75.09,0.27,0
2014-06-01 17:00,0.000455,0.009136667,75.54,0.26,0
2014-06-01 18:00,0.000059444,0.009667778,75.32,0.28,0
2014-06-01 19:00,0.000886111,0.009275556,73.59,0.29,0
2014-06-01 20:00,0.000057778,0.009501667,68.83,0.38,0
2014-06-01 21:00,0.000042778,0.009622778,63.79,0.47,0
2014-06-01 22:00,0.000015556,0.009533889,59.96,0.54,0
2014-06-01 23:00,0.000022778,0.00947,57.1,0.6,0
2014-06-02 0:00,0.000002222,0.009718333,55.71,0.63,1
2014-06-02 1:00,0.000003889,0.009502778,53.94,0.67,1
2014-06-02 2:00,0.000006111,0.009579444,53.03,0.68,1
2014-06-02 3:00,0.000012222,0.009728889,51.94,0.71,1
2014-06-02 4:00,0.000007222,0.009679444,50.22,0.79,1
2014-06-02 5:00,0.000003333,0.009625,49.42,0.78,1
2014-06-02 6:00,0.000052778,0.009828333,49.21,0.81,1
2014-06-02 7:00,0.000103889,0.009789444,54.38,0.74,1
2014-06-02 8:00,0.00055,0.010175556,60.17,0.58,1
2014-06-02 9:00,0.000187222,0.009392778,65.18,0.53,1
2014-06-02 10:00,0.000037778,0.009567778,69.9,0.49,1
2014-06-02 11:00,0.000048333,0.009660556,73.89,0.44,1
2014-06-02 12:00,0.000060556,0.009620556,75.99,0.41,1
2014-06-02 13:00,0.000044444,0.009576111,78.23,0.38,1
2014-06-02 14:00,0.000050556,0.009610556,79.78,0.36,1
2014-06-02 15:00,0.000048889,0.009463333,80.62,0.36,1
2014-06-02 16:00,0.000056111,0.009706667,81.25,0.36,1
2014-06-02 17:00,0.000068333,0.009811667,81.25,0.36,1
2014-06-02 18:00,0.000002222,0.009829444,80.83,0.37,1
2014-06-02 19:00,0.000057778,0.009805556,79.13,0.41,1
2014-06-02 20:00,0.000031667,0.009416111,73.67,0.5,1
2014-06-02 21:00,0.000060556,0.009299444,68.99,0.57,1
2014-06-02 22:00,0.000091667,0.009146667,66.07,0.63,1
2014-06-02 23:00,0.000022222,0.009242222,63.47,0.68,1
2014-06-03 0:00,0.000018333,0.009182222,61.57,0.73,2
2014-06-03 1:00,0.000021111,0.009332778,59.73,0.78,2
2014-06-03 2:00,0.000024444,0.009225,58.21,0.83,2
2014-06-03 3:00,0.000025,0.009375,56.06,0.87,2
2014-06-03 4:00,0.000023333,0.009262778,55.13,0.89,2
2014-06-03 5:00,0.000028889,0.009304444,54.52,0.9,2
2014-06-03 6:00,0.000015,0.009332222,54.82,0.91,2
2014-06-03 7:00,0.000033333,0.009643889,59.98,0.84,2
2014-06-03 8:00,0.000032778,0.009953333,65.16,0.72,2
2014-06-03 9:00,0.000047778,0.009848889,69.5,0.65,2
2014-06-03 10:00,0.000054444,0.009708889,73.95,0.59,2
2014-06-03 11:00,0.000043333,0.009489444,78.79,0.53,2
2014-06-03 12:00,0.000047222,0.009553889,81.32,0.5,2
2014-06-03 13:00,0.000048333,0.009881667,82.67,0.48,2
2014-06-03 14:00,0.000052778,0.009701111,85,0.44,2
2014-06-03 15:00,0.000046667,0.009728889,85.48,0.42,2
2014-06-03 16:00,0.000038889,0.009831111,84.65,0.44,2
2014-06-03 17:00,0.000056111,0.009596667,81.72,0.48,2
2014-06-03 18:00,0.000057222,0.009645,77.33,0.57,2
2014-06-03 19:00,0.000081667,0.009525,73.4,0.62,2
2014-06-03 20:00,0.00012,0.009301667,69.95,0.68,2
2014-06-03 21:00,0.000114444,0.009301667,66.58,0.77,2
2014-06-03 22:00,0.000097222,0.009122222,65.49,0.79,2
2014-06-03 23:00,0.000043889,0.009206111,60.03,0.86,2
2014-06-04 0:00,0.000037778,0.009337222,40.91,0.83,3
