date&time,AC,Furnace,temp,hum
2014-01-01 0:00,0.000057778,0.009531111,20.31,0.47
2014-01-01 1:00,0.001846667,0.417988889,19.22,0.48
2014-01-01 2:00,0.00003,0.017152222,18.1,0.52
2014-01-01 3:00,0.001857778,0.420358333,17.47,0.55
2014-01-01 4:00,0.000055556,0.009462222,15.63,0.61
2014-01-01 5:00,0.00186,0.421543889,15.33,0.63
2014-01-01 6:00,0.000072778,0.009492222,15.33,0.65
2014-01-01 7:00,0.000111667,0.009932222,15.6,0.65
2014-01-01 8:00,0.002432222,0.413423333,15.31,0.67
2014-01-01 9:00,0.000076111,0.009917778,18.8,0.63
2014-01-01 10:00,0.000146667,0.009965556,21.66,0.55
2014-01-01 11:00,0.000150556,0.009651111,23.04,0.5
2014-01-01 12:00,0.000036111,0.009598333,24.38,0.46
2014-01-01 13:00,0.000273333,0.01878,25.84,0.42
2014-01-01 14:00,0.001147222,0.196279444,25.75,0.41
2014-01-01 15:00,0.000134444,0.034351111,26.21,0.4
2014-01-01 16:00,0.000852778,0.195528889,25.76,0.41
2014-01-01 17:00,0.001336667,0.170971667,23.81,0.45
2014-01-01 18:00,0.000827222,0.098267778,22.13,0.54
2014-01-01 19:00,0.002006111,0.42421,20.91,0.57
2014-01-01 20:00,0.001198333,0.291966111,20.77,0.61
2014-01-01 21:00,0.001038333,0.202151667,20.49,0.66
2014-01-01 22:00,0.000018333,0.023201667,20.41,0.7
2014-01-01 23:00,0.001071111,0.263647222,20.41,0.72
2014-01-02 0:00,0.000475,0.133571111,19.92,0.76
2014-01-02 1:00,0.001043889,0.259631667,18.73,0.86
2014-01-02 2:00,0.000086667,0.050513889,18.54,0.87
2014-01-02 3:00,0.001191111,0.287573333,18.19,0.87
2014-01-02 4:00,0.000501667,0.141172778,17.72,0.87
2014-01-02 5:00,0.001347778,0.31251,17.29,0.86
2014-01-02 6:00,0.001220556,0.289861111,16.72,0.85
2014-01-02 7:00,0.001362222,0.343533889,16.27,0.83
2014-01-02 8:00,0.000680556,0.154547778,15.53,0.83
2014-01-02 9:00,0.001076667,0.281000556,14.93,0.82
2014-01-02 10:00,0.000217778,0.009650556,14.85,0.81
2014-01-02 11:00,0.001676111,0.348375,14.16,0.81
2014-01-02 12:00,0.001119444,0.260779444,13.97,0.78
2014-01-02 13:00,0.000085,0.009719444,13.52,0.79
2014-01-02 14:00,0.000061667,0.009748333,13.19,0.79
2014-01-02 15:00,0.000115,0.009802778,13.02,0.77
2014-01-02 16:00,0.001,0.263367222,12.05,0.79
2014-01-02 17:00,0.001663333,0.421247778,11.11,0.81
2014-01-02 18:00,0.001585,0.421295556,10.48,0.8
2014-01-02 19:00,0.001185556,0.174097222,9.38,0.81
2014-01-02 20:00,0.00092,0.199163333,8.39,0.8
2014-01-02 21:00,0.000963889,0.232536111,7.32,0.76
2014-01-02 22:00,0.00182,0.414833889,6.1,0.77
2014-01-02 23:00,0.00176,0.413490556,5.77,0.77
2014-01-03 0:00,0.001815,0.415949444,4.68,0.78
2014-01-03 1:00,0.0018,0.417770556,3.95,0.79
2014-01-03 2:00,0.000670556,0.181126111,3.83,0.78
2014-01-03 3:00,0.001799444,0.421533889,3.77,0.77
2014-01-03 4:00,0.001796667,0.420896111,4.51,0.79
2014-01-03 5:00,0.001816667,0.420421667,4.97,0.78
2014-01-03 6:00,0.000097222,0.009692222,5.06,0.77
2014-01-03 7:00,0.000218333,0.105923333,5.32,0.75
2014-01-03 8:00,0.000871667,0.234031111,5.92,0.73
2014-01-03 9:00,0.000193889,0.009868333,6.17,0.71
2014-01-03 10:00,0.000186111,0.009963889,6.91,0.66
2014-01-03 11:00,0.001830556,0.42389,7.1,0.61
2014-01-03 12:00,0.00097,0.258653333,7.9,0.57
2014-01-03 13:00,0.000048889,0.009625556,8.92,0.52
2014-01-03 14:00,0.000167222,0.009764444,9.67,0.49
2014-01-03 15:00,0.000255556,0.091608333,9.05,0.47
2014-01-03 16:00,0.001797778,0.429489444,7.46,0.44
2014-01-03 17:00,0.001847778,0.421058333,4.88,0.49
2014-01-03 18:00,0.001999444,0.414733889,3.13,0.53
2014-01-03 19:00,0.001801667,0.331769444,1.72,0.57
2014-01-03 20:00,0.000976667,0.191591111,0.4,0.59
2014-01-03 21:00,0.001388889,0.245613889,-1.72,0.65
2014-01-03 22:00,0.00229,0.420673889,-4.35,0.7
2014-01-03 23:00,0.001993333,0.42107,-6.81,0.74
2014-01-04 0:00,0.000698889,0.187061667,-7.54,0.75
2014-01-04 1:00,0.000015556,0.046693333,-8.65,0.76
2014-01-04 2:00,0.000085,0.061501667,-9.28,0.77
2014-01-04 3:00,0.000682222,0.187941111,-9.76,0.76
2014-01-04 4:00,0.001588889,0.373668333,-10.07,0.75
2014-01-04 5:00,0.001854444,0.425142222,-9.6,0.76
2014-01-04 6:00,0.000927778,0.230357778,-9.46,0.74
2014-01-04 7:00,0.001779444,0.420292778,-9.5,0.75
2014-01-04 8:00,0.001322778,0.336515556,-6.31,0.75
2014-01-04 9:00,0.000121111,0.009729444,-2.52,0.76
2014-01-04 10:00,0.000193333,0.205404444,2.8,0.69
2014-01-04 11:00,0.001585,0.328951111,10.29,0.51
2014-01-04 12:00,0.001644444,0.399638333,16.06,0.41
2014-01-04 13:00,0.00172,0.400093333,19.71,0.36
2014-01-04 14:00,0.000908889,0.238938333,21.86,0.35
2014-01-04 15:00,0.000149444,0.09781,23.12,0.37
2014-01-04 16:00,0.000712778,0.163838333,23.18,0.39
2014-01-04 17:00,0.001400556,0.304931667,21.2,0.45
2014-01-04 18:00,0.001891111,0.392772778,20.31,0.48
2014-01-04 19:00,0.001281111,0.226208889,19.69,0.5
2014-01-04 20:00,0.000690556,0.125368333,18.23,0.53
2014-01-04 21:00,0.001335556,0.269801667,17.74,0.54
2014-01-04 22:00,0.001390556,0.27324,15.91,0.6
2014-01-04 23:00,0.000065556,0.009922778,15.51,0.61
2014-01-05 0:00,0.00034,0.122431667,16.2,0.61
2014-01-05 1:00,0.000507778,0.150501111,12.53,0.71
2014-01-05 2:00,0.000265556,0.095763333,10.39,0.75
2014-01-05 3:00,0.000396111,0.115832222,7.47,0.78
2014-01-05 4:00,0.000237222,0.081585556,6.79,0.82
2014-01-05 5:00,0.000376111,0.108635556,6.26,0.82
2014-01-05 6:00,0.001078333,0.269631111,5.24,0.82
2014-01-05 7:00,0.001713889,0.39065,3.15,0.81
2014-01-05 8:00,0.001695556,0.385084444,3.66,0.82
2014-01-05 9:00,0.00112,0.230931111,9.38,0.8
2014-01-05 10:00,0.000874444,0.187748889,16.93,0.7
2014-01-05 11:00,0.000565,0.194344444,23.44,0.62
2014-01-05 12:00,0.000652222,0.17532,27.16,0.58
2014-01-05 13:00,0.000966111,0.262567778,29.8,0.56
2014-01-05 14:00,0.001642222,0.319842778,31.4,0.57
2014-01-05 15:00,0.000886111,0.21845,32.11,0.58
2014-01-05 16:00,0.000315556,0.100097778,32.15,0.65
2014-01-05 17:00,0.001731111,0.379152778,31.43,0.75
2014-01-05 18:00,0.000802778,0.190928333,31.13,0.84
2014-01-05 19:00,0.000011111,0.009505556,30.73,0.92
2014-01-05 20:00,0.00007,0.009263889,31.13,0.94
2014-01-05 21:00,0.001211667,0.245270556,31.55,0.95
2014-01-05 22:00,0.000043333,0.009878333,33.04,0.93
2014-01-05 23:00,0.000871111,0.221493889,34.02,0.94
2014-01-06 0:00,0.000067222,0.013573889,34.73,0.94
2014-01-06 1:00,0.000065,0.009757778,35.41,0.94
2014-01-06 2:00,0.000503333,0.133854444,36.71,0.96
2014-01-06 3:00,0.000067778,0.00959,38.39,0.93
2014-01-06 4:00,0.001161111,0.299523889,40.36,0.96
2014-01-06 5:00,0.000080556,0.009398333,42.28,0.93
2014-01-06 6:00,0.001457778,0.37444,42.02,0.93
2014-01-06 7:00,0.001584444,0.382149444,43.03,0.95
2014-01-06 8:00,0.000011111,0.010428889,48.91,0.96
2014-01-06 9:00,0.000011111,0.011953333,51.09,0.95
2014-01-06 10:00,0.00027,0.093685,52.23,0.95
2014-01-06 11:00,0.000953333,0.236032222,48.64,0.91
2014-01-06 12:00,0.000857222,0.220661667,46.08,0.9
2014-01-06 13:00,0.000235556,0.075638889,43.59,0.88
2014-01-06 14:00,0.000036111,0.009719444,39.52,0.87
2014-01-06 15:00,0.000039444,0.009611111,35.77,0.83
2014-01-06 16:00,0.000038889,0.009661111,34.24,0.82
2014-01-06 17:00,0.001536667,0.373423889,32.89,0.69
2014-01-06 18:00,0.000926667,0.211449444,31.66,0.63
2014-01-06 19:00,0.000447222,0.086252778,30.14,0.61
2014-01-06 20:00,0.000125,0.009443889,28.78,0.59
2014-01-06 21:00,0.001968889,0.407903889,27.98,0.57
2014-01-06 22:00,0.000011111,0.018218333,26.51,0.59
2014-01-06 23:00,0.000766667,0.188717778,25.16,0.6
2014-01-07 0:00,0.001205556,0.287771111,22.81,0.61
2014-01-07 1:00,0.000773333,0.198165556,19.12,0.59
2014-01-07 2:00,0.000921111,0.240240556,14.58,0.52
2014-01-07 3:00,0.001138889,0.290241111,12.47,0.49
2014-01-07 4:00,0.000965556,0.249293889,10.74,0.47
2014-01-07 5:00,0.001532778,0.362541111,8.96,0.46
2014-01-07 6:00,0.001312222,0.307976111,7.78,0.47
2014-01-07 7:00,0.000981667,0.238554444,6.89,0.5
2014-01-07 8:00,0.001176667,0.245907222,6.3,0.51
2014-01-07 9:00,0.000071667,0.009858333,7.41,0.46
2014-01-07 10:00,0.000116111,0.009770556,8.19,0.44
2014-01-07 11:00,0.000084444,0.009751667,9.11,0.41
2014-01-07 12:00,0.000925556,0.209258889,9.52,0.39
2014-01-07 13:00,0.000519444,0.125048333,9.58,0.38
2014-01-07 14:00,0.000819444,0.192189444,9.52,0.37
2014-01-07 15:00,0.000372222,0.105558889,9.29,0.37
2014-01-07 16:00,0.000970556,0.22742,8.49,0.36
2014-01-07 17:00,0.001768333,0.424146111,7.15,0.39
2014-01-07 18:00,0.001910556,0.424817778,6.71,0.4
2014-01-07 19:00,0.002221111,0.426699444,6.15,0.42
2014-01-07 20:00,0.002022778,0.411815,5.9,0.43
2014-01-07 21:00,0.002387778,0.419081111,5.49,0.44
2014-01-07 22:00,0.001491667,0.298266667,5.09,0.47
2014-01-07 23:00,0.001033333,0.253866111,5.03,0.48
